Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VmId,______,____________,Latitude,Longitude,NameOnPage,Address,Hours,nBatteries,Records,MaintenanceRecord
中油豐榮加油站,VmId: cb45cbee-dba4-49a0-86dd-6b7e2d5c4564<br>地址: 台東縣台東市臨海路二段51號(近臨海路二段往新豐里橋)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.739481<br>Longitude: 121.143023,,,,,-1,0,-1,,,cb45cbee-dba4-49a0-86dd-6b7e2d5c4564,台東縣台東市臨海路二段51號(近臨海路二段往新豐里橋),已啟用,22.739481,121.143023,中油豐榮加油站 (已啟用),台東縣台東市臨海路二段51號(近臨海路二段往新豐里橋) ,24HR,24 ,"['2021-11-19 11:16:00 ~ 新增建置中狀態為 100 (即將啟用)', '2022-04-06 11:06:00 ~ 更改 GPS 位置', '2022-04-06 12:06:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
全家新莊新市店站,VmId: cb74ccc5-3127-46ca-99bb-a4d702299f1f<br>地址: 新北市新莊區化成路431巷76號(近化成路431巷/福前街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.059909<br>Longitude: 121.462530,,,,,-1,0,-1,,,cb74ccc5-3127-46ca-99bb-a4d702299f1f,新北市新莊區化成路431巷76號(近化成路431巷/福前街口),已啟用,25.059909,121.46253,全家新莊新市店站 (已啟用),新北市新莊區化成路431巷76號(近化成路431巷/福前街口) ,24HR,34 ,"['2019-10-06 15:05:00 ~ 新增建置中', '2019-10-24 22:25:00 ~ 狀態變更為 100 (即將啟用)', '2019-11-01 10:25:00 ~ 啟用', '2020-07-30 01:41:00 ~ 更改地址敘述', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2020-09-18 20:37:00 ~ 2020-09-19 20:37:00', '2020-09-18 20:37:00 ~ 2020-09-19 20:37:00', '2020-09-18 20:37:00 ~ 2020-09-19 20:37:00', '2020-08-26 13:41:00 ~ 2020-08-27 13:41:00', '2020-02-21 10:38:00 ~ 2020-02-22 10:38:00', '2019-11-27 02:29:00 ~ 2019-11-28 02:29:00']"
全聯苑裡世界店站,VmId: cb7b3475-a6cd-4639-b35c-b5bee7221715<br>地址: 苗栗縣苑裡鎮世界路一段91-13號(近世界路一段與新興路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.439443<br>Longitude: 120.657171,,,,,-1,0,-1,,,cb7b3475-a6cd-4639-b35c-b5bee7221715,苗栗縣苑裡鎮世界路一段91-13號(近世界路一段與新興路口),已啟用,24.439443,120.657171,全聯苑裡世界店站 (已啟用),苗栗縣苑裡鎮世界路一段91-13號(近世界路一段與新興路口) ,24HR,18 ,"['2018-08-17 12:40:00 ~ 新增建置中', '2018-12-04 14:25:00 ~ 狀態變更為 100 (即將啟用)', '2018-12-14 11:15:00 ~ 將狀態 100 改回建置中', '2021-12-13 17:41:00 ~ 更改地址敘述', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-07-08 22:00:00 ~ 2021-07-09 18:00:00', '2021-07-08 22:00:00 ~ 2021-07-09 18:00:00', '2021-07-08 22:00:00 ~ 2021-07-09 18:00:00', '2021-07-08 22:00:00 ~ 2021-07-09 18:00:00', '2021-07-08 22:00:00 ~ 2021-07-09 18:00:00', '2021-07-08 22:00:00 ~ 2021-07-09 18:00:00', '2021-07-08 22:00:00 ~ 2021-07-09 18:00:00', '2021-07-08 22:00:00 ~ 2021-07-09 18:00:00', '2021-07-08 22:00:00 ~ 2021-07-09 18:00:00', '2021-07-08 22:00:00 ~ 2021-07-09 18:00:00']"
星巴克本館店站(多站),VmId: cb93a602-de81-4646-9734-73dc4c13085d<br>地址: 高雄市鳥松區本館路211號(近本華路/應安街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.650569<br>Longitude: 120.341469,,,,,-1,0,-1,,,cb93a602-de81-4646-9734-73dc4c13085d,高雄市鳥松區本館路211號(近本華路/應安街口),已啟用,22.650569,120.341469,星巴克本館店站A (已啟用),高雄市鳥松區本館路211號(近本華路/應安街口) ,24HR,127 ,"['2021-05-14 10:06:00 ~ 新增建置中', '2021-05-18 12:26:00 ~ 狀態變更為 100 (即將啟用)', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
中油宜蘭豐富加油站(多站),VmId: cbc2e573-c5e9-4c99-9615-eda1a241c75b<br>地址: 宜蘭縣礁溪鄉礁溪路三段266號(近礁溪分局三城派出所)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.811315<br>Longitude: 121.767686,,,,,-1,0,-1,,,cbc2e573-c5e9-4c99-9615-eda1a241c75b,宜蘭縣礁溪鄉礁溪路三段266號(近礁溪分局三城派出所),已啟用,24.811315,121.767686,中油宜蘭豐富加油站A (已啟用),宜蘭縣礁溪鄉礁溪路三段266號(近礁溪分局三城派出所) ,24HR,50 ,"['2020-12-04 17:41:00 ~ 新增建置中狀態為 100 (即將啟用)', '2020-12-14 15:16:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
中油智弘加油站,VmId: cc2c58cf-380c-45bf-b32c-ce0c148cc468<br>地址: 台中市東區大智路210號(近大智路/建成路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.131734<br>Longitude: 120.689955,,,,,-1,0,-1,,,cc2c58cf-380c-45bf-b32c-ce0c148cc468,台中市東區大智路210號(近大智路/建成路口),已啟用,24.131734,120.689955,中油智弘加油站 (已啟用),台中市東區大智路210號(近大智路/建成路口) ,24HR,18 ,"['2019-10-24 14:40:00 ~ 新增建置中', '2019-11-13 11:25:00 ~ 狀態變更為 100 (即將啟用)', '2019-12-02 15:30:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-07-29 13:30:00 ~ 2021-07-30 18:00:00', '2021-07-29 13:30:00 ~ 2021-07-30 18:00:00', '2021-07-29 13:30:00 ~ 2021-07-30 18:00:00', '2021-07-29 13:30:00 ~ 2021-07-30 18:00:00', '2021-07-29 13:30:00 ~ 2021-07-30 18:00:00', '2021-07-29 13:30:00 ~ 2021-07-30 18:00:00', '2021-07-29 13:30:00 ~ 2021-07-30 18:00:00', '2021-07-29 13:30:00 ~ 2021-07-30 18:00:00', '2021-07-29 13:30:00 ~ 2021-07-30 18:00:00', '2021-07-29 13:30:00 ~ 2021-07-30 18:00:00']"
全聯雲林斗六店站(多站),VmId: cc480eeb-93c4-49b1-9b12-15474249b5bf<br>地址: 雲林縣斗六市林投里莊敬路43號(近中山紀念公園)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 23.703846<br>Longitude: 120.550589,,,,,-1,0,-1,,,cc480eeb-93c4-49b1-9b12-15474249b5bf,雲林縣斗六市林投里莊敬路43號(近中山紀念公園),已啟用,23.703846,120.550589,全聯雲林斗六店站A (已啟用),雲林縣斗六市林投里莊敬路43號(近中山紀念公園) ,24HR,68 ,"['2020-07-22 14:51:00 ~ 新增建置中狀態為 100 (即將啟用)', '2020-07-24 11:21:00 ~ 將狀態 100 改回建置中', '2020-08-03 14:56:00 ~ 狀態變更為 100 (即將啟用)', '2020-08-03 21:56:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
HiLife 竹北水岸店站(多站),VmId: cc66fa89-647c-481e-928f-111f8e13b5ec<br>地址: 新竹縣竹北市興隆路三段357號(近興隆路三段/嘉豐南路二段路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.804314<br>Longitude: 121.030052,,,,,-1,0,-1,,,cc66fa89-647c-481e-928f-111f8e13b5ec,新竹縣竹北市興隆路三段357號(近興隆路三段/嘉豐南路二段路口),已啟用,24.804314,121.030052,HiLife 竹北水岸店站A (已啟用),新竹縣竹北市興隆路三段357號(近興隆路三段/嘉豐南路二段路口) ,24HR,50 ,[],[]
台北捷運輔大站(多站)(4號出口),VmId: cc6f2e1a-d2d7-4830-8d61-9b953f0a02ea<br>地址: 新北市新莊區中正路捷運站4號出口(近捷運站機車轉乘停車場)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.033049<br>Longitude: 121.436453,,,,,-1,0,-1,,,cc6f2e1a-d2d7-4830-8d61-9b953f0a02ea,新北市新莊區中正路捷運站4號出口(近捷運站機車轉乘停車場),已啟用,25.033049,121.436453,台北捷運輔大站(4號出口)A (已啟用),新北市新莊區中正路捷運站4號出口(近捷運站機車轉乘停車場) ,24HR,42 ,"['2020-07-15 08:51:00 ~ 更改站名', '2020-08-21 17:51:00 ~ 更改站名', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2020-08-17 09:30:00 ~ 2020-08-18 18:30:00', '2020-08-17 09:30:00 ~ 2020-08-18 18:30:00', '2020-08-17 09:30:00 ~ 2020-08-18 18:30:00', '2020-08-17 09:30:00 ~ 2020-08-18 18:30:00', '2020-08-17 09:30:00 ~ 2020-08-18 18:30:00', '2020-08-17 09:30:00 ~ 2020-08-18 18:30:00', '2020-08-17 09:30:00 ~ 2020-08-18 18:30:00', '2020-08-17 09:30:00 ~ 2020-08-18 18:30:00', '2020-08-17 09:30:00 ~ 2020-08-18 18:30:00', '2020-08-17 09:30:00 ~ 2020-08-18 18:30:00']"
岡山福利站(多站),VmId: cc761370-7eaf-4c61-b13a-11fcdea60773<br>地址: 高雄市岡山區柳橋西路1號(近柳橋西路/樹人路)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.790308<br>Longitude: 120.289090,,,,,-1,0,-1,,,cc761370-7eaf-4c61-b13a-11fcdea60773,高雄市岡山區柳橋西路1號(近柳橋西路/樹人路),已啟用,22.790308,120.28909,岡山福利站A (已啟用),高雄市岡山區柳橋西路1號(近柳橋西路/樹人路) ,24HR,46 ,"['2020-06-05 17:15:00 ~ 新增建置中', '2020-06-05 17:35:00 ~ 移除建置中的站', '2020-09-04 11:31:00 ~ 新增建置中', '2020-09-11 16:21:00 ~ 狀態變更為 100 (即將啟用)', '2021-01-20 18:01:00 ~ 更改 GPS 位置']",[]
