Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VmId,______,____________,Latitude,Longitude
Gogoro 三重成功門市站(多站),VmId: 002e15b4-b766-40dc-9a0d-1eaf0e545c8d<br>地址: 新北市三重區成功路115號(近成功路/集成路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.051840<br>Longitude: 121.487640,,,,,"-1","0","-1",,,002e15b4-b766-40dc-9a0d-1eaf0e545c8d,新北市三重區成功路115號(近成功路/集成路口),已啟用,"25.051840","121.487640"
7-ELEVEN 濱海店站,VmId: 002f4908-a033-4678-8e3f-e5038c9f0319<br>地址: 桃園市大園區竹圍里五鄰竹圍街45-3號(近竹圍街/竹圍街44巷路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.104733<br>Longitude: 121.243208,,,,,"-1","0","-1",,,002f4908-a033-4678-8e3f-e5038c9f0319,桃園市大園區竹圍里五鄰竹圍街45-3號(近竹圍街/竹圍街44巷路口),已啟用,"25.104733","121.243208"
eReady 台中旗艦店站(多站),VmId: 00607f9b-ed34-45e2-8777-7841cfd962f7<br>地址: 台中市北區北屯路22-5號(近北屯路/德化街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.161347<br>Longitude: 120.692405,,,,,"-1","0","-1",,,00607f9b-ed34-45e2-8777-7841cfd962f7,台中市北區北屯路22-5號(近北屯路/德化街口),已啟用,"24.161347","120.692405"
全聯屏東林森店站,VmId: 006e6ccc-7a51-439e-b275-ca9e30e21320<br>地址: 屏東縣屏東市自由路163號(近自由路/民生路路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.668561<br>Longitude: 120.494274,,,,,"-1","0","-1",,,006e6ccc-7a51-439e-b275-ca9e30e21320,屏東縣屏東市自由路163號(近自由路/民生路路口),已啟用,"22.668561","120.494274"
全聯小港店北店站(多站),VmId: 00a23773-9a7d-41e1-83cd-4519f18b4919<br>地址: 高雄市小港區店北路159號(近店北路/店鳳街口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.562672<br>Longitude: 120.351212,,,,,"-1","0","-1",,,00a23773-9a7d-41e1-83cd-4519f18b4919,高雄市小港區店北路159號(近店北路/店鳳街口),已啟用,"22.562672","120.351212"
中油台糖成功加油站,VmId: 01062e78-749d-4f7e-90b2-33b3b56c318d<br>地址: 高雄市前鎮區成功二路2-2號(近成功二路/時代大道)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.596899<br>Longitude: 120.305109,,,,,"-1","0","-1",,,01062e78-749d-4f7e-90b2-33b3b56c318d,高雄市前鎮區成功二路2-2號(近成功二路/時代大道),已啟用,"22.596899","120.305109"
康是美鳳揚藥局店站(多站),VmId: 0115e8a3-3ee0-4a0e-a162-ffcb76b894d0<br>地址: 高雄市鳳山區文衡路379號(近文衡路/文平街)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.640830<br>Longitude: 120.350630,,,,,"-1","0","-1",,,0115e8a3-3ee0-4a0e-a162-ffcb76b894d0,高雄市鳳山區文衡路379號(近文衡路/文平街),已啟用,"22.640830","120.350630"
宜家家居南屯店站,VmId: 011b66f2-c937-41c0-8695-b0c1f7c273ed<br>地址: 台中市南屯區向上路二段168號(近向上路二段/大觀路口)<br>營業時間: 10:00 ~ 22:00<br>目前狀態: 已啟用<br>Latitude: 24.147611<br>Longitude: 120.642856,,,,,"-1","0","-1",,,011b66f2-c937-41c0-8695-b0c1f7c273ed,台中市南屯區向上路二段168號(近向上路二段/大觀路口),已啟用,"24.147611","120.642856"
楓康超市青海店站,VmId: 01255a75-d14e-4af8-8a41-d5c12acafc2b<br>地址: 台中市西屯區青海路二段520號(近青海路/福科二路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 24.176111<br>Longitude: 120.636411,,,,,"-1","0","-1",,,01255a75-d14e-4af8-8a41-d5c12acafc2b,台中市西屯區青海路二段520號(近青海路/福科二路口),已啟用,"24.176111","120.636411"
全聯新莊龍安店站,VmId: 012c542e-da03-4207-b979-5fc78cbeb487<br>地址: 新北市新莊區中正路893巷2之1號(近迴龍捷運站3號出口對面)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.020932<br>Longitude: 121.413277,,,,,"-1","0","-1",,,012c542e-da03-4207-b979-5fc78cbeb487,新北市新莊區中正路893巷2之1號(近迴龍捷運站3號出口對面),已啟用,"25.020932","121.413277"
中油八德路加油站,VmId: 0145397e-bb57-4cab-9748-d5295c777f96<br>地址: 基隆市七堵區八德路2-15號(近八德櫻花公園)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.104102<br>Longitude: 121.723453,,,,,"-1","0","-1",,,0145397e-bb57-4cab-9748-d5295c777f96,基隆市七堵區八德路2-15號(近八德櫻花公園),已啟用,"25.104102","121.723453"
高雄市旗津復興社區站(多站),VmId: 01966bfa-189a-42e8-aba0-c0d0e8c90678<br>地址: 高雄市旗津區旗津三路900巷與復興巷口(近旗津三路900巷/復興巷口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 22.605473<br>Longitude: 120.272907,,,,,"-1","0","-1",,,01966bfa-189a-42e8-aba0-c0d0e8c90678,高雄市旗津區旗津三路900巷與復興巷口(近旗津三路900巷/復興巷口),已啟用,"22.605473","120.272907"
全聯大園和平店站,VmId: 01f7ff69-facd-455a-9e2d-129dc3fdc628<br>地址: 桃園市大園區和平東路65號(近和平東路與和平二街路口)<br>營業時間: 24HR<br>目前狀態: 已啟用<br>Latitude: 25.061972<br>Longitude: 121.200064,,,,,"-1","0","-1",,,01f7ff69-facd-455a-9e2d-129dc3fdc628,桃園市大園區和平東路65號(近和平東路與和平二街路口),已啟用,"25.061972","121.200064"
車太炫自助洗車竹北嘉興店站,VmId: 01fcef1e-1c2e-4d56-bfdc-697a83ef0f67<br>地址: 新竹縣竹北市嘉興路507號(近嘉興路與十興一街口)<br>營業時間: 06:00 ~ 22:00<br>目前狀態: 已啟用<br>Latitude: 24.823609<br>Longitude: 121.033282,,,,,"-1","0","-1",,,01fcef1e-1c2e-4d56-bfdc-697a83ef0f67,新竹縣竹北市嘉興路507號(近嘉興路與十興一街口),已啟用,"24.823609","121.033282"
