Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Type,Key,City,Store_Phone,Operating_Hours,Service_Phone,Service_Hours,Address,Shop_Icon,Service_Icon,Handicapped_icon,Delivery,lat,lng,Zip_Code,notification
松山Citylink門市,Type: RS<br>Key: citylink<br>City: 台北市<br>Store Phone: 0981-885-000<br>Operating Hours: 週一至週日 11:30 - 20:30<br>Service Phone: --<br>Service Hours: --<br>Address: 台北市松山區市民大道六段131號<br>Shop Icon: 1<br>Service Icon: 0<br>Handicapped icon: 1<br>Delivery: 0<br>lat: 25.049624<br>lng: 121.579231<br>Zip Code: 10566<br>notification: ,,,,,"-1","0","-1",,,RS,citylink,台北市,0981-885-000,週一至週日 11:30 - 20:30,--,--,台北市松山區市民大道六段131號,"1.0","0.0","1.0","0.0","25.049624","121.579231","10566.0",
土城裕民門市,Type: RS<br>Key: tucheng<br>City: 新北市<br>Store Phone: 0938-982-008<br>Operating Hours: 週一至週日 12:00 - 21:00<br>Service Phone: --<br>Service Hours: --<br>Address: 新北市土城區裕民路178號<br>Shop Icon: 1<br>Service Icon: 0<br>Handicapped icon: 1<br>Delivery: 0<br>lat: 24.985498<br>lng: 121.452618<br>Zip Code: 23662<br>notification: ,,,,,"-1","0","-1",,,RS,tucheng,新北市,0938-982-008,週一至週日 12:00 - 21:00,--,--,新北市土城區裕民路178號,"1.0","0.0","1.0","0.0","24.985498","121.452618","23662.0",
新莊幸福門市,Type: RS<br>Key: xinzhuang<br>City: 新北市<br>Store Phone: 0938-983-355<br>Operating Hours: 週一至週日 12:00 - 21:00<br>Service Phone: --<br>Service Hours: --<br>Address: 新北市新莊區幸福路728號<br>Shop Icon: 1<br>Service Icon: 0<br>Handicapped icon: 1<br>Delivery: 0<br>lat: 25.0493191<br>lng: 121.4466685<br>Zip Code: 24248<br>notification: ,,,,,"-1","0","-1",,,RS,xinzhuang,新北市,0938-983-355,週一至週日 12:00 - 21:00,--,--,新北市新莊區幸福路728號,"1.0","0.0","1.0","0.0","25.0493191","121.4466685","24248.0",
桃園中正門市,Type: RS<br>Key: taoyuan<br>City: 桃園市<br>Store Phone: 0938-970-001<br>Operating Hours: 週一至週日 12:00 - 21:00<br>Service Phone: --<br>Service Hours: --<br>Address: 桃園市桃園區中正路50號<br>Shop Icon: 1<br>Service Icon: 0<br>Handicapped icon: 1<br>Delivery: 0<br>lat: 24.991212<br>lng: 121.312888<br>Zip Code: 33041<br>notification: ,,,,,"-1","0","-1",,,RS,taoyuan,桃園市,0938-970-001,週一至週日 12:00 - 21:00,--,--,桃園市桃園區中正路50號,"1.0","0.0","1.0","0.0","24.991212","121.312888","33041.0",
台中三民門市,Type: RS<br>Key: taichung-sanmin<br>City: 台中市<br>Store Phone: 0938-935-560<br>Operating Hours: 週一至週日 12:00 - 21:00<br>Service Phone: --<br>Service Hours: --<br>Address: 台中市北區三民路三段146號<br>Shop Icon: 1<br>Service Icon: 0<br>Handicapped icon: 1<br>Delivery: 0<br>lat: 24.151306<br>lng: 120.684927<br>Zip Code: 40445<br>notification: ,,,,,"-1","0","-1",,,RS,taichung-sanmin,台中市,0938-935-560,週一至週日 12:00 - 21:00,--,--,台中市北區三民路三段146號,"1.0","0.0","1.0","0.0","24.151306","120.684927","40445.0",
永康中華門市,Type: RS<br>Key: yongkang-zhonghua<br>City: 台南市<br>Store Phone: 0981-163-668<br>Operating Hours: 週一至週日 12:00 - 21:00<br>Service Phone: --<br>Service Hours: --<br>Address: 台南市永康區中華路140號<br>Shop Icon: 1<br>Service Icon: 0<br>Handicapped icon: 1<br>Delivery: 0<br>lat: 23.003016<br>lng: 120.235488<br>Zip Code: 71069<br>notification: ,,,,,"-1","0","-1",,,RS,yongkang-zhonghua,台南市,0981-163-668,週一至週日 12:00 - 21:00,--,--,台南市永康區中華路140號,"1.0","0.0","1.0","0.0","23.003016","120.235488","71069.0",
高雄中山門市,Type: RS<br>Key: kaohsiung<br>City: 高雄市<br>Store Phone: 0981-079-333<br>Operating Hours: 週一至週日 12:00 - 21:00<br>Service Phone: --<br>Service Hours: --<br>Address: 高雄市新興區中山一路2號<br>Shop Icon: 1<br>Service Icon: 0<br>Handicapped icon: 1<br>Delivery: 0<br>lat: 22.6241974<br>lng: 120.3012478<br>Zip Code: 80054<br>notification: ,,,,,"-1","0","-1",,,RS,kaohsiung,高雄市,0981-079-333,週一至週日 12:00 - 21:00,--,--,高雄市新興區中山一路2號,"1.0","0.0","1.0","0.0","22.6241974","120.3012478","80054.0",
內湖Citylink門市,Type: RS<br>Key: nh-citylink<br>City: 台北市<br>Store Phone: 0981-111-665<br>Operating Hours: 週一至週日 12:00 - 19:00<br>Service Phone: --<br>Service Hours: --<br>Address: 台北市內湖區成功路四段188號<br>Shop Icon: 1<br>Service Icon: 0<br>Handicapped icon: 1<br>Delivery: 0<br>lat: 25.084031<br>lng: 121.594264<br>Zip Code: 11489<br>notification: ,,,,,"-1","0","-1",,,RS,nh-citylink,台北市,0981-111-665,週一至週日 12:00 - 19:00,--,--,台北市內湖區成功路四段188號,"1.0","0.0","1.0","0.0","25.084031","121.594264","11489.0",
豐原中正門市,Type: RS<br>Key: tc-fy<br>City: 台中市<br>Store Phone: 0981-165-556<br>Operating Hours: 週一至週日 12:00 - 21:00<br>Service Phone: --<br>Service Hours: --<br>Address: 台中市豐原區中正路38號<br>Shop Icon: 1<br>Service Icon: 0<br>Handicapped icon: 1<br>Delivery: 0<br>lat: 24.253551<br>lng: 120.721852<br>Zip Code: 42056<br>notification: ,,,,,"-1","0","-1",,,RS,tc-fy,台中市,0981-165-556,週一至週日 12:00 - 21:00,--,--,台中市豐原區中正路38號,"1.0","0.0","1.0","0.0","24.253551","120.721852","42056.0",
竹東長春服務中心,Type: GSC<br>Key: cd-xx<br>City: 新竹縣<br>Store Phone: --<br>Operating Hours: --<br>Service Phone: 03-511-0878<br>Service Hours: 週二至週日 12:00 - 21:00 週一公休<br>Address: 新竹縣竹東鎮長春路一段280號<br>Shop Icon: 0<br>Service Icon: 1<br>Handicapped icon: 0<br>Delivery: 0<br>lat: 24.736103<br>lng: 121.089395<br>Zip Code: 31047<br>notification: ,,,,,"-1","0","-1",,,GSC,cd-xx,新竹縣,--,--,03-511-0878,週二至週日 12:00 - 21:00 週一公休,新竹縣竹東鎮長春路一段280號,"0.0","1.0","0.0","0.0","24.736103","121.089395","31047.0",
