Name,VmId,address,status,lat,lng,Hours,nBatteries,Records,MaintenanceRecord
Gogoro 三重成功門市站(多站),002e15b4-b766-40dc-9a0d-1eaf0e545c8d,新北市三重區成功路115號(近成功路/集成路口),已啟用,25.05184,121.48764,24HR,104 ,[],[]
7-ELEVEN 濱海店站,002f4908-a033-4678-8e3f-e5038c9f0319,桃園市大園區竹圍里五鄰竹圍街45-3號(近竹圍街/竹圍街44巷路口),已啟用,25.104733,121.243208,24HR,34 ,"['2019-04-11 11:20:00 ~ 新增建置中', '2019-05-22 11:30:00 ~ 狀態變更為 100 (即將啟用)', '2019-07-31 12:20:00 ~ 啟用', '2019-12-06 15:30:00 ~ 更改地址敘述']","['2021-03-15 14:00:00 ~ 2021-03-15 16:30:00', '2021-03-15 14:00:00 ~ 2021-03-15 16:30:00', '2021-03-15 14:00:00 ~ 2021-03-15 16:30:00', '2021-03-15 14:00:00 ~ 2021-03-15 16:30:00', '2021-03-15 14:00:00 ~ 2021-03-15 16:30:00', '2020-09-02 10:00:00 ~ 2020-09-02 11:30:00', '2020-08-23 19:55:00 ~ 2020-08-24 19:55:00', '2020-08-23 19:55:00 ~ 2020-08-24 19:55:00', '2020-08-23 19:55:00 ~ 2020-08-24 19:55:00', '2020-08-23 19:55:00 ~ 2020-08-24 19:55:00']"
eReady 台中旗艦店站(多站),00607f9b-ed34-45e2-8777-7841cfd962f7,台中市北區北屯路22-5號(近北屯路/德化街口),已啟用,24.161347,120.692405,24HR,52 ,[],[]
全聯屏東林森店站,006e6ccc-7a51-439e-b275-ca9e30e21320,屏東縣屏東市自由路163號(近自由路/民生路路口),已啟用,22.668561,120.494274,24HR,16 ,"['2018-09-07 15:00:00 ~ 更改地址', '2018-11-29 18:40:00 ~ 狀態變更為 100 (即將啟用)', '2018-12-25 16:40:00 ~ 將狀態 100 改回建置中', '2018-12-27 15:20:00 ~ 狀態變更為 100 (即將啟用)', '2018-12-28 11:20:00 ~ 啟用']","['2020-11-19 22:06:00 ~ 2020-11-24 22:06:00', '2020-11-19 22:06:00 ~ 2020-11-24 22:06:00', '2020-11-19 22:06:00 ~ 2020-11-24 22:06:00', '2020-11-19 22:06:00 ~ 2020-11-24 22:06:00', '2020-11-19 22:06:00 ~ 2020-11-24 22:06:00', '2020-11-19 22:06:00 ~ 2020-11-24 22:06:00', '2020-11-19 22:06:00 ~ 2020-11-24 22:06:00', '2020-11-19 22:06:00 ~ 2020-11-23 22:06:00', '2020-11-19 22:06:00 ~ 2020-11-23 22:06:00', '2020-11-19 22:06:00 ~ 2020-11-23 22:06:00']"
全聯小港店北店站(多站),00a23773-9a7d-41e1-83cd-4519f18b4919,高雄市小港區店北路159號(近店北路/店鳳街口),已啟用,22.562672,120.351212,24HR,70 ,"['2021-02-18 16:06:00 ~ 更改 GPS 位置', '2021-04-13 15:56:00 ~ 更改 GPS 位置', '2021-06-24 17:01:00 ~ 更改站名', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-08-10 18:29:00 ~ 2021-08-11 18:29:00', '2021-07-28 03:32:00 ~ 2021-07-29 03:32:00', '2021-07-28 03:32:00 ~ 2021-07-29 03:32:00']"
中油台糖成功加油站,01062e78-749d-4f7e-90b2-33b3b56c318d,高雄市前鎮區成功二路2-2號(近成功二路/時代大道),已啟用,22.596899,120.305109,24HR,24 ,"['2021-09-24 15:36:00 ~ 新增建置中狀態為 100 (即將啟用)', '2021-12-01 16:31:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']",[]
康是美鳳揚藥局店站(多站),0115e8a3-3ee0-4a0e-a162-ffcb76b894d0,高雄市鳳山區文衡路379號(近文衡路/文平街),已啟用,22.64083,120.35063,24HR,46 ,[],[]
宜家家居南屯店站,011b66f2-c937-41c0-8695-b0c1f7c273ed,台中市南屯區向上路二段168號(近向上路二段/大觀路口),已啟用,24.147611,120.642856,10:00 ~ 22:00,32 ,"['2019-07-18 13:10:00 ~ 新增建置中', '2019-07-22 13:45:00 ~ 更改站名', '2019-09-17 12:40:00 ~ 狀態變更為 100 (即將啟用)', '2019-09-20 11:15:00 ~ 更改服務時間', '2019-09-20 12:55:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-03-04 10:00:00 ~ 2021-03-04 18:00:00', '2021-03-04 10:00:00 ~ 2021-03-04 18:00:00', '2021-03-04 10:00:00 ~ 2021-03-04 18:00:00', '2021-03-04 10:00:00 ~ 2021-03-04 18:00:00', '2021-03-04 10:00:00 ~ 2021-03-04 18:00:00', '2021-03-04 10:00:00 ~ 2021-03-04 18:00:00', '2021-03-04 10:00:00 ~ 2021-03-04 18:00:00', '2021-03-04 10:00:00 ~ 2021-03-04 18:00:00', '2021-03-04 10:00:00 ~ 2021-03-04 18:00:00', '2021-03-04 10:00:00 ~ 2021-03-04 18:00:00']"
楓康超市青海店站,01255a75-d14e-4af8-8a41-d5c12acafc2b,台中市西屯區青海路二段520號(近青海路/福科二路口),已啟用,24.176111,120.636411,24HR,26 ,"['2019-07-18 12:30:00 ~ 新增建置中', '2019-08-21 17:10:00 ~ 更改地址', '2019-08-22 09:50:00 ~ 狀態變更為 100 (即將啟用)', '2019-08-28 13:30:00 ~ 啟用', '2019-09-03 14:05:00 ~ 將已啟用改回建置中', '2019-09-03 14:45:00 ~ 啟用', '2020-06-12 10:15:00 ~ 將已啟用改回建置中', '2020-06-12 17:15:00 ~ 啟用', '2022-05-31 23:16:00 ~ 更改 GPS 位置']","['2021-02-26 10:00:00 ~ 2021-02-26 18:00:00', '2021-02-26 10:00:00 ~ 2021-02-26 18:00:00', '2021-02-26 10:00:00 ~ 2021-02-26 18:00:00', '2021-02-26 10:00:00 ~ 2021-02-26 18:00:00', '2021-02-26 10:00:00 ~ 2021-02-26 18:00:00', '2021-02-26 10:00:00 ~ 2021-02-26 18:00:00', '2021-02-26 10:00:00 ~ 2021-02-26 18:00:00', '2021-02-26 10:00:00 ~ 2021-02-26 18:00:00', '2021-02-26 10:00:00 ~ 2021-02-26 18:00:00', '2021-02-22 15:20:00 ~ 2021-02-23 18:00:00']"
全聯新莊龍安店站,012c542e-da03-4207-b979-5fc78cbeb487,新北市新莊區中正路893巷2之1號(近迴龍捷運站3號出口對面),已啟用,25.020932,121.413277,24HR,18 ,['2022-05-31 23:16:00 ~ 更改 GPS 位置'],"['2021-06-07 12:00:00 ~ 2021-06-08 18:00:00', '2021-06-07 12:00:00 ~ 2021-06-08 18:00:00', '2021-06-07 12:00:00 ~ 2021-06-08 18:00:00', '2021-06-07 12:00:00 ~ 2021-06-08 18:00:00', '2021-06-07 12:00:00 ~ 2021-06-08 18:00:00', '2021-06-07 12:00:00 ~ 2021-06-08 18:00:00', '2021-06-07 12:00:00 ~ 2021-06-08 18:00:00', '2021-06-07 12:00:00 ~ 2021-06-08 18:00:00', '2021-06-07 12:00:00 ~ 2021-06-08 18:00:00', '2021-06-07 12:00:00 ~ 2021-06-08 18:00:00']"
